iterations,threads,time_in_ns,matrix_size,gmacs
4,8,1000,432,5.0
5,1,4305000,432,18.727425783972127
5,8,1000,432,5.0
6,1,4956000,432,16.267467312348668
6,8,1000,432,5.0
7,1,4154000,432,19.408177178623014
7,8,1000,432,5.0
8,1,5071000,432,15.898554131335043
8,8,1000,432,5.0
9,1,4253000,432,18.956399717846224
9,8,0,432,5.0
0,1,6509000,456,14.567339990781994
0,8,0,456,5.0
1,1,8081000,456,11.733549808192056
1,8,1000,456,5.0
2,1,6121000,456,15.490739421663127
2,8,1000,456,5.0
3,1,5133000,456,18.47239742840444
3,8,1000,456,5.0
4,1,5152000,456,18.404273291925467
4,8,1000,456,5.0
5,1,5202000,456,18.227377162629757
5,8,1000,456,5.0
6,1,5130000,456,18.4832
6,8,0,456,5.0
7,1,5010000,456,18.92591137724551
7,8,1000,456,5.0
8,1,4826000,456,19.647496062992126
8,8,0,456,5.0
9,1,5635000,456,16.826764152617567
9,8,0,456,5.0
0,1,8143000,480,13.58123541692251
0,8,0,480,5.0
1,1,7543000,480,14.661540501126872
1,8,0,480,5.0
2,1,6677000,480,16.563127152912983
2,8,1000,480,5.0
3,1,6637000,480,16.662950128069912
3,8,0,480,5.0
4,1,6817000,480,16.22297198181018
4,8,1000,480,5.0
5,1,6310000,480,17.526465927099842
5,8,1000,480,5.0
6,1,6362000,480,17.383212826155297
6,8,1000,480,5.0
7,1,7514000,480,14.718126164492947
7,8,1000,480,5.0
8,1,6874000,480,16.08844922897876
8,8,0,480,5.0
9,1,6592000,480,16.776699029126213
9,8,1000,480,5.0
0,1,9043000,504,14.157255777949796
0,8,0,504,5.0
1,1,8199000,504,15.614594950603733
1,8,0,504,5.0
2,1,6991000,504,18.312696896009154
2,8,0,504,5.0
3,1,8250000,504,15.518068363636363
3,8,0,504,5.0
4,1,8655000,504,14.79191958405546
4,8,0,504,5.0
5,1,9000000,504,14.224896
5,8,1000,504,5.0
6,1,7727000,504,16.568404814287565
6,8,0,504,5.0
7,1,8285000,504,15.452512251056126
7,8,1000,504,5.0
8,1,9577000,504,13.367867181789704
8,8,1000,504,5.0
9,1,8582000,504,14.91774225122349
9,8,1000,504,5.0
0,1,9913000,528,14.848981337637445
0,8,2000,528,5.0
1,1,9602000,528,15.329926265361383
1,8,0,528,5.0
2,1,9818000,528,14.992661641882258
2,8,0,528,5.0
3,1,10488000,528,14.034892448512586
3,8,1000,528,5.0
4,1,9968000,528,14.767049759229534
4,8,1000,528,5.0
5,1,8960000,528,16.42834285714286
5,8,0,528,5.0
6,1,13974000,528,10.533702018033491
6,8,0,528,5.0
7,1,12748000,528,11.546748666457484
7,8,0,528,5.0
8,1,11410000,528,12.900784574934269
8,8,1000,528,5.0
9,1,12502000,528,11.77395232762758
9,8,1000,528,5.0
0,1,12501000,552,13.454652267818574
0,8,1000,552,5.0
1,1,13936000,552,12.06921699196326
1,8,1000,552,5.0
2,1,12383000,552,13.582864249374142
2,8,1000,552,5.0
3,1,10992000,552,15.301729257641922
3,8,1000,552,5.0
4,1,16043000,552,10.484111949136695
4,8,0,552,5.0
5,1,10634000,552,15.816871167951852
5,8,1000,552,5.0
6,1,13915000,552,12.087431404958677
6,8,1000,552,5.0
7,1,12358000,552,13.610342126557695
7,8,1000,552,5.0
8,1,11065000,552,15.200777948486218
8,8,1000,552,5.0
9,1,12031000,552,13.980268306873908
9,8,1000,552,5.0
0,1,13249000,576,14.423954713563289
0,8,1000,576,5.0
1,1,13777000,576,13.871160339696596
1,8,0,576,5.0
2,1,11915000,576,16.038856567352077
2,8,1000,576,5.0
3,1,14072000,576,13.580370665150653
3,8,1000,576,5.0
4,1,12722000,576,15.021457003615783
4,8,0,576,5.0
5,1,11390000,576,16.778136611062337
5,8,1000,576,5.0
6,1,13467000,576,14.19046380040098
6,8,0,576,5.0
7,1,12060000,576,15.846017910447761
7,8,1000,576,5.0
8,1,13214000,576,14.462159527773574
8,8,0,576,5.0
9,1,13275000,576,14.395704406779661
9,8,1000,576,5.0
0,1,14916000,600,14.481094127111826
0,8,1000,600,5.0
1,1,17157000,600,12.589613568805735
1,8,1000,600,5.0
2,1,12265000,600,17.6110884631064
2,8,0,600,5.0
3,1,14221000,600,15.188805287954434
3,8,1000,600,5.0
4,1,11943000,600,18.08590806330068
4,8,0,600,5.0
5,1,13151000,600,16.424606493802752
5,8,0,600,5.0
6,1,11756000,600,18.37359646138142
6,8,1000,600,5.0
7,1,12011000,600,17.983515111148115
7,8,1000,600,5.0
8,1,14928000,600,14.469453376205788
8,8,1000,600,5.0
9,1,14870000,600,14.525891055817082
9,8,1000,600,5.0
0,1,18531000,624,13.111576493443419
0,8,1000,624,5.0
1,1,17937000,624,13.545778223783241
1,8,1000,624,5.0
2,1,16312000,624,14.895207454634624
2,8,0,624,5.0
3,1,14240000,624,17.062543820224718
3,8,1000,624,5.0
4,1,15624000,624,15.551115207373272
4,8,0,624,5.0
5,1,15440000,624,15.736439378238343
5,8,1000,624,5.0
6,1,17827000,624,13.629361305884332
6,8,1000,624,5.0
7,1,15644000,624,15.5312339555101
7,8,1000,624,5.0
8,1,17641000,624,13.773064112011792
8,8,1000,624,5.0
9,1,16527000,624,14.701435469232166
9,8,1000,624,5.0
0,1,23454000,648,11.601338449731388
0,8,1000,648,5.0
1,1,17570000,648,15.486499260102446
1,8,1000,648,5.0
2,1,19920000,648,13.659527710843374
2,8,1000,648,5.0
3,1,19508000,648,13.948010662292393
3,8,1000,648,5.0
4,1,18822000,648,14.456369780044628
4,8,1000,648,5.0
5,1,24385000,648,11.158408529833915
5,8,1000,648,5.0
6,1,21645000,648,12.570930561330561
6,8,1000,648,5.0
7,1,20423000,648,13.323105910003427
7,8,1000,648,5.0
8,1,18777000,648,14.491015178143474
8,8,1000,648,5.0
9,1,21536000,648,12.63455572065379
9,8,0,648,5.0
0,1,21068000,672,14.404046326181888
0,8,1000,672,5.0
1,1,22461000,672,13.51072739414986
1,8,1000,672,5.0
2,1,24656000,672,12.307935107073328
2,8,1000,672,5.0
3,1,23797000,672,12.75221448081691
3,8,1000,672,5.0
4,1,19550000,672,15.522478158567775
4,8,1000,672,5.0
5,1,19655000,672,15.439554718901043
5,8,0,672,5.0
6,1,23549000,672,12.886511019576202
6,8,0,672,5.0
7,1,22205000,672,13.666491691060571
7,8,1000,672,5.0
8,1,23094000,672,13.140402182385035
8,8,1000,672,5.0
9,1,20257000,672,14.980720146122328
9,8,1000,672,5.0
0,1,24678000,696,13.662109409190371
0,8,1000,696,5.0
1,1,24317000,696,13.864931364888761
1,8,1000,696,5.0
2,1,19766000,696,17.05724658504503
2,8,1000,696,5.0
3,1,24126000,696,13.974696841581697
3,8,1000,696,5.0
4,1,20189000,696,16.69986309376393
4,8,1000,696,5.0
5,1,22455000,696,15.014630861723447
5,8,1000,696,5.0
6,1,20057000,696,16.809768958468364
6,8,1000,696,5.0
7,1,24260000,696,13.897507666941467
7,8,1000,696,5.0
8,1,25538000,696,13.202033675307385
8,8,1000,696,5.0
9,1,21129000,696,15.956909271617208
9,8,1000,696,5.0
0,1,28616000,720,13.043332401453732
0,8,0,720,5.0
1,1,25460000,720,14.660172820109976
1,8,1000,720,5.0
2,1,27094000,720,13.776038975418912
2,8,1000,720,5.0
3,1,26377000,720,14.150509913940175
3,8,0,720,5.0
4,1,23843000,720,15.654405905297152
4,8,0,720,5.0
5,1,25690000,720,14.52892175943947
5,8,1000,720,5.0
6,1,24410000,720,15.290782466202376
6,8,0,720,5.0
7,1,24589000,720,15.17947049493676
7,8,1000,720,5.0
8,1,26705000,720,13.976708481557761
8,8,1000,720,5.0
9,1,24070000,720,15.506771915247196
9,8,0,720,5.0
0,1,30895000,744,13.330014047580514
0,8,1000,744,5.0
1,1,27012000,744,15.246215904042648
1,8,0,744,5.0
2,1,25081000,744,16.42003046130537
2,8,1000,744,5.0
3,1,26898000,744,15.310832924380994
3,8,0,744,5.0
4,1,26398000,744,15.600832790362906
4,8,1000,744,5.0
5,1,26945000,744,15.284126331415846
5,8,0,744,5.0
6,1,27215000,744,15.13249252250597
6,8,1000,744,5.0
7,1,23567000,744,17.47489217974286
7,8,1000,744,5.0
8,1,25921000,744,15.887920373442382
8,8,1000,744,5.0
9,1,24390000,744,16.885230996309964
9,8,1000,744,5.0
0,1,56601000,768,8.003124185085069
0,8,1000,768,5.0
1,1,60656000,768,7.46809601688209
1,8,1000,768,5.0
2,1,45674000,768,9.917783246485966
2,8,1000,768,5.0
3,1,43022000,768,10.529143972851099
3,8,1000,768,5.0
4,1,43491000,768,10.415599365385942
4,8,0,768,5.0
5,1,41103000,768,11.020724326691482
5,8,0,768,5.0
6,1,43902000,768,10.31809102091021
6,8,1000,768,5.0
7,1,41433000,768,10.932947940047788
7,8,1000,768,5.0
8,1,40445000,768,11.200020571146
8,8,1000,768,5.0
9,1,41052000,768,11.034415667933352
9,8,1000,768,5.0
0,1,29738000,792,16.705665747528414
0,8,0,792,5.0
1,1,30393000,792,16.345641693811075
1,8,1000,792,5.0
2,1,28443000,792,17.466268958970574
2,8,1000,792,5.0
3,1,27395000,792,18.1344438036138
3,8,1000,792,5.0
4,1,28286000,792,17.563214593791983
4,8,1000,792,5.0
5,1,27747000,792,17.904389231268244
5,8,0,792,5.0
6,1,28255000,792,17.582484091311272
6,8,1000,792,5.0
7,1,27786000,792,17.879258907363422
7,8,1000,792,5.0
8,1,28474000,792,17.44725321345789
8,8,1000,792,5.0
9,1,27261000,792,18.22358270056124
9,8,1000,792,5.0
0,1,32779000,816,16.575810610451814
0,8,0,816,5.0
1,1,34066000,816,15.949583044677977
1,8,1000,816,5.0
2,1,29940000,816,18.147578356713428
2,8,1000,816,5.0
3,1,30300000,816,17.931963564356437
3,8,0,816,5.0
4,1,30838000,816,17.619122381477396
4,8,1000,816,5.0
5,1,31754000,816,17.110867796183157
5,8,1000,816,5.0
6,1,30586000,816,17.76428745177532
6,8,1000,816,5.0
7,1,31978000,816,16.991009318906748
7,8,1000,816,5.0
8,1,30628000,816,17.739927386704977
8,8,1000,816,5.0
9,1,31521000,816,17.237349576472827
9,8,1000,816,5.0
0,1,35095000,840,16.888559623878045
0,8,1000,840,5.0
1,1,35836000,840,16.539345909141645
1,8,1000,840,5.0
2,1,36180000,840,16.382089552238806
2,8,1000,840,5.0
3,1,34368000,840,17.24581005586592
3,8,1000,840,5.0
4,1,34079000,840,17.39205962616274
4,8,1000,840,5.0
5,1,33364000,840,17.76477640570675
5,8,0,840,5.0
6,1,33947000,840,17.45968715939553
6,8,1000,840,5.0
7,1,33236000,840,17.833192923336142
7,8,0,840,5.0
8,1,33883000,840,17.49266593867131
8,8,1000,840,5.0
9,1,34606000,840,17.12720337513726
9,8,0,840,5.0
0,1,42016000,864,15.350641279512567
0,8,1000,864,5.0
1,1,42766000,864,15.08143253986812
1,8,1000,864,5.0
2,1,39882000,864,16.172021062133293
2,8,1000,864,5.0
3,1,41457000,864,15.557627035241335
3,8,0,864,5.0
4,1,40710000,864,15.843098599852617
4,8,1000,864,5.0
5,1,42629000,864,15.129900865607919
5,8,1000,864,5.0
6,1,39989000,864,16.128749005976644
6,8,1000,864,5.0
7,1,40484000,864,15.931541942495802
7,8,1000,864,5.0
8,1,40263000,864,16.018988748975485
8,8,1000,864,5.0
9,1,39554000,864,16.306126915103402
9,8,1000,864,5.0
0,1,41541000,888,16.856288293493176
0,8,1000,888,5.0
1,1,41520000,888,16.86481387283237
1,8,1000,888,5.0
2,1,39840000,888,17.575980722891565
2,8,0,888,5.0
3,1,39326000,888,17.805702893759854
