iterations,threads,time_in_ns,matrix_size,gmacs
22,c0,226000,192,31.31808849557522
23,c0,253000,192,27.975841897233202
24,c0,242000,192,29.247471074380165
0,c0,942000,216,10.698191082802548
1,c0,4259000,216,2.3662117868044144
2,c0,5239000,216,1.92359152510021
3,c0,7105000,216,1.418394933145672
4,c0,475000,216,21.216202105263157
5,c0,602000,216,16.740358803986712
6,c0,385000,216,26.175833766233765
7,c0,393000,216,25.642992366412212
8,c0,367000,216,27.4596621253406
9,c0,2593000,216,3.8865005784805247
10,c0,5642000,216,1.7861921304501949
11,c0,419000,216,24.05178042959427
12,c0,542000,216,18.593535055350554
13,c0,347000,216,29.04235158501441
14,c0,342000,216,29.466947368421053
15,c0,360000,216,27.9936
16,c0,318000,216,31.690867924528302
17,c0,318000,216,31.690867924528302
18,c0,313000,216,32.19711182108626
19,c0,351000,216,28.711384615384617
20,c0,1883000,216,5.351936271906532
21,c0,2432000,216,4.143789473684211
22,c0,472000,216,21.35105084745763
23,c0,3468000,216,2.9059100346020763
24,c0,584000,216,17.25632876712329
0,c0,2285000,240,6.049890590809628
1,c0,2799000,240,4.938906752411576
2,c0,1413000,240,9.78343949044586
3,c0,2157000,240,6.408901251738525
4,c0,1397000,240,9.895490336435218
5,c0,739000,240,18.7063599458728
6,c0,418000,240,33.07177033492823
7,c0,406000,240,34.04926108374384
8,c0,1336000,240,10.347305389221557
9,c0,1108000,240,12.47653429602888
10,c0,3019000,240,4.578999668764491
11,c0,770000,240,17.953246753246752
12,c0,1177000,240,11.745114698385727
13,c0,484000,240,28.56198347107438
14,c0,417000,240,33.15107913669065
15,c0,412000,240,33.55339805825243
16,c0,1285000,240,10.757976653696499
17,c0,442000,240,31.27601809954751
18,c0,457000,240,30.24945295404814
19,c0,386000,240,35.81347150259067
20,c0,408000,240,33.88235294117647
21,c0,424000,240,32.60377358490566
22,c0,2073000,240,6.6685962373371925
23,c0,1317000,240,10.496583143507973
24,c0,5784000,240,2.3900414937759336
0,c0,5040000,264,3.6507428571428573
1,c0,697000,264,26.39848493543759
2,c0,7284000,264,2.5260494233937396
3,c0,4191000,264,4.390299212598425
