iterations,threads,time_in_ns,matrix_size,gmacs
22,c3,179000,192,39.54127374301676
23,c3,180000,192,39.3216
24,c3,201000,192,35.21337313432836
0,c3,280000,216,35.991771428571425
1,c3,238000,216,42.34326050420168
2,c3,250000,216,40.310784
3,c3,267000,216,37.7441797752809
4,c3,254000,216,39.67596850393701
5,c3,242000,216,41.643371900826445
6,c3,354000,216,28.46806779661017
7,c3,270000,216,37.3248
8,c3,252000,216,39.990857142857145
9,c3,343000,216,29.381037900874635
10,c3,231000,216,43.62638961038961
11,c3,255000,216,39.52037647058823
12,c3,254000,216,39.67596850393701
13,c3,240000,216,41.9904
14,c3,261000,216,38.611862068965515
15,c3,241000,216,41.816165975103736
16,c3,251000,216,40.150183266932274
17,c3,339000,216,29.727716814159294
18,c3,338000,216,29.815668639053253
19,c3,225000,216,44.78976
20,c3,211000,216,47.761592417061614
21,c3,246000,216,40.966243902439025
22,c3,239000,216,42.16609205020921
23,c3,273000,216,36.914637362637365
24,c3,241000,216,41.816165975103736
0,c3,376000,240,36.765957446808514
1,c3,328000,240,42.146341463414636
2,c3,484000,240,28.56198347107438
3,c3,331000,240,41.764350453172206
4,c3,314000,240,44.02547770700637
5,c3,437000,240,31.633867276887873
6,c3,323000,240,42.79876160990712
7,c3,310000,240,44.593548387096774
8,c3,308000,240,44.883116883116884
9,c3,295000,240,46.86101694915254
10,c3,340000,240,40.65882352941176
11,c3,322000,240,42.93167701863354
12,c3,301000,240,45.926910299003325
13,c3,304000,240,45.473684210526315
14,c3,319000,240,43.33542319749216
15,c3,336000,240,41.142857142857146
16,c3,404000,240,34.21782178217822
17,c3,386000,240,35.81347150259067
18,c3,377000,240,36.6684350132626
19,c3,327000,240,42.27522935779817
20,c3,322000,240,42.93167701863354
21,c3,303000,240,45.62376237623762
22,c3,310000,240,44.593548387096774
23,c3,304000,240,45.473684210526315
24,c3,301000,240,45.926910299003325
0,c3,429000,264,42.88984615384615
1,c3,502000,264,36.65287649402391
2,c3,390000,264,47.17883076923077
3,c3,502000,264,36.65287649402391
4,c3,381000,264,48.29329133858268
5,c3,409000,264,44.98714914425428
6,c3,377000,264,48.80568700265252
7,c3,439000,264,41.91285649202734
8,c3,511000,264,36.007326810176124
9,c3,380000,264,48.42037894736842
10,c3,386000,264,47.66773056994818
11,c3,376000,264,48.935489361702125
12,c3,391000,264,47.05816879795396
13,c3,406000,264,45.319566502463054
14,c3,784000,264,23.469061224489796
15,c3,402000,264,45.77050746268657
16,c3,428000,264,42.99005607476636
17,c3,378000,264,48.67657142857143
